title,year,cinema_link,stars, wikipediaLink, sale, duration, year, poster, language
آقای هالو, 1349, http://www.cinema-theatre.com/performance_589/فیلم-آقای-هالو/,علی نصیریان ، عزت اله انتظامی ، فخری خوروش ، محمدعلی کشاورز ، عزت اله نوید ، نبی پور ، اسماعیل داورفر ، عنایت بخشی ، مصطفی زاده ، اصغر سمسارزاده|,,,,,,
آینه زمان, 1349, http://www.cinema-theatre.com/performance_590/فیلم-آینه-زمان/,امین امینی ، سهیلا ، عارف ، سارا ، مینا ، محمدتقی کهنمویی ، پوری بنایی ، ماروتیان ، طاهره غفاری ، محمد فرزین ، شهروز رامتین|, https://fa.wikipedia.org//wiki/%D8%A2%DB%8C%D9%86%D9%87_%D8%B2%D9%85%D8%A7%D9%86, , 90 , 1349, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Emoji_u1f3a5.svg/30px-Emoji_u1f3a5.svg.png, fa
اجل معلق, 1349, http://www.cinema-theatre.com/performance_582/فیلم-اجل-معلق/,نصرت اله وحدت ، شیلا ، هوشنگ بهشتی ، افسون ، علی محمد رجایی ، پرستو ، فرشته ، طلوع ، مهران حیدری ، اشرف کاشانی|, https://fa.wikipedia.org//wiki/%D8%A7%D8%AC%D9%84_%D9%85%D8%B9%D9%84%D9%82, , 90 , 1349, https://upload.wikimedia.org/wikipedia/fa/thumb/a/a0/%D9%BE%D9%88%D8%B3%D8%AA%D8%B1_%D9%81%DB%8C%D9%84%D9%85_%D8%A7%D8%AC%D9%84_%D9%85%D8%B9%D9%84%D9%82.jpg/220px-%D9%BE%D9%88%D8%B3%D8%AA%D8%B1_%D9%81%DB%8C%D9%84%D9%85_%D8%A7%D8%AC%D9%84_%D9%85%D8%B9%D9%84%D9%82.jpg, fa
ارادتمند شما عزرائیل, 1349, http://www.cinema-theatre.com/performance_583/فیلم-ارادتمند-شما-عزرائیل/,آذر هوشیار ، عبداله بوتیمار ، هوشنگ منظوری ، اسداله یکتا ، فرهاد حمیدی ، حمیده خیرآبادی ، کنعان کیانی|, https://fa.wikipedia.org//wiki/%D8%A7%D8%B1%D8%A7%D8%AF%D8%AA%D9%85%D9%86%D8%AF_%D8%B4%D9%85%D8%A7_%D8%B9%D8%B2%D8%B1%D8%A7%D8%A6%DB%8C%D9%84, , 90, 1349, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Emoji_u1f3a5.svg/30px-Emoji_u1f3a5.svg.png, fa
از یاد رفته, 1349, http://www.cinema-theatre.com/performance_584/فیلم-از-یاد-رفته/,محمد زرین دست ، لی لی ، مرجان ، شهرام شبیری ، رضوانی ، عباس مهردادیان ، منوچهر ژیان|, https://fa.wikipedia.org//wiki/%D8%A7%D8%B2_%DB%8C%D8%A7%D8%AF_%D8%B1%D9%81%D8%AA%D9%87_(%D9%81%DB%8C%D9%84%D9%85), , 90 , 1349, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Emoji_u1f3a5.svg/30px-Emoji_u1f3a5.svg.png, fa
اسیر خشم, 1349, http://www.cinema-theatre.com/performance_585/فیلم-اسیر-خشم/,فروزان ، جونیت آرکین ، نازنین|, https://fa.wikipedia.org//wiki/%D8%A7%D8%B3%DB%8C%D8%B1_%D8%AE%D8%B4%D9%85, , 90, 1349, https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Forouzan.jpg/100px-Forouzan.jpg, fa
بابا کرم, 1349, http://www.cinema-theatre.com/performance_591/فیلم-بابا-کرم/,آنوشاوان هاروتیونیان ، ویکتوریا ، سیمین غفاری ، علی آزاد ، محمدتقی کهنمویی ، اشرف کاشانی ، اسداله یکتا ، نیکتاج صبری ، کارمن|, https://fa.wikipedia.org//wiki/%D8%A8%D8%A7%D8%A8%D8%A7_%DA%A9%D8%B1%D9%85_(%D9%81%DB%8C%D9%84%D9%85), , 90 , 1349, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Emoji_u1f3a5.svg/30px-Emoji_u1f3a5.svg.png, fa
بارگاه شیطان, 1349, http://www.cinema-theatre.com/performance_592/فیلم-بارگاه-شیطان/,عبداله بوتیمار ، شهین ، ابراهیم فخار ، محمد بانکی ، نرسی کرکیا ، محسن آراسته ، یدی ، منصوری ، سیما ، آنوشاوان هاروتیونیان ، گیتی فروهر|, https://fa.wikipedia.org//wiki/%D8%A8%D8%A7%D8%B1%DA%AF%D8%A7%D9%87_%D8%B4%DB%8C%D8%B7%D8%A7%D9%86, , 90 , 1349, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Emoji_u1f3a5.svg/30px-Emoji_u1f3a5.svg.png, fa
پایان تاریکی, 1349, http://www.cinema-theatre.com/performance_593/فیلم-پایان-تاریکی/,اکبر مشکین ، اختر شیروانی ، حمید طاهری ، فیروزه بهشتی ، هوشنگ بهشتی|, https://fa.wikipedia.org//wiki/%D9%BE%D8%A7%DB%8C%D8%A7%D9%86_%D8%AA%D8%A7%D8%B1%DB%8C%DA%A9%DB%8C, , 90, 1349, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Emoji_u1f3a5.svg/30px-Emoji_u1f3a5.svg.png, fa
پسر زاینده رود, 1349, http://www.cinema-theatre.com/performance_594/فیلم-پسر-زاینده-رود/,ایرن ، جمشید مشایخی ، فرخ ساجدی ، عباس مغفوریان ، ویکتوریا ، علی محمد رجایی ، کنعان کیانی ، عباس افتخاری|,,,,,,
پنجره, 1349, http://www.cinema-theatre.com/performance_595/فیلم-پنجره/,بهروز وثوقی ، فائقه آتشین ، نوری کسرایی ، فرخ ساجدی ، محسن مهدوی ، شاپور شالچی ، توران مهرزاد ، ژاله ، حسن خیاط باشی ، حسن رضیانی ، نیکتاج صبری ، جهانگیر فروهر|, https://fa.wikipedia.org//wiki/%D9%BE%D9%86%D8%AC%D8%B1%D9%87_(%D9%81%DB%8C%D9%84%D9%85_%DB%B1%DB%B3%DB%B6%DB%B7), , 91 , 1367, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Emoji_u1f3a5.svg/30px-Emoji_u1f3a5.svg.png, fa
تاکسی عشق, 1349, http://www.cinema-theatre.com/performance_596/فیلم-تاکسی-عشق/,نصرت اله وحدت ، کتایون ، غلامحسین بهمنیار ، جمشید مهرداد ، جهانگیر فروهر ، خواجوی ، گیتی جعفری ، اکبر جنتی شیرازی ، علی محمد رجایی|, https://fa.wikipedia.org//wiki/%D8%AA%D8%A7%DA%A9%D8%B3%DB%8C_%D8%B9%D8%B4%D9%82, , 90 , 1349, https://upload.wikimedia.org/wikipedia/fa/thumb/b/bd/%D9%BE%D9%88%D8%B3%D8%AA%D8%B1_%D9%81%DB%8C%D9%84%D9%85_%D8%AA%D8%A7%DA%A9%D8%B3%DB%8C_%D8%B9%D8%B4%D9%82.jpg/220px-%D9%BE%D9%88%D8%B3%D8%AA%D8%B1_%D9%81%DB%8C%D9%84%D9%85_%D8%AA%D8%A7%DA%A9%D8%B3%DB%8C_%D8%B9%D8%B4%D9%82.jpg, fa
تجاوز, 1349, http://www.cinema-theatre.com/performance_597/فیلم-تجاوز/,داوود رشیدی ، اکبر مشکین ، آذر فخر ، بهزاد فراهانی ، منوچهر فرید ، جمشید لایق ، فهیمه رحیم نیا ، فیروز بهجت محمدی ، پرویز فنی زاده ، خسرو شجاع زاده ، حسین کسبیان ، فریدون نوری ، فردوس کاویانی ، حمید طاعتی ، عزیزاله هنرآموز|, https://fa.wikipedia.org//wiki/%D8%AA%D8%AC%D8%A7%D9%88%D8%B2_(%D9%81%DB%8C%D9%84%D9%85_%DB%B1%DB%B3%DB%B4%DB%B9), , 83, 1349, https://upload.wikimedia.org/wikipedia/fa/thumb/5/5c/Tajavoz_Poster.jpg/220px-Tajavoz_Poster.jpg, fa
جعفر و گلنار, 1349, http://www.cinema-theatre.com/performance_598/فیلم-جعفر-و-گلنار/,نعمت اله آغاسی آزموده ، فرهاد خان محمدی ، فروزان ، هوشنگ منظوری ، مارینا متر ، علی میری ، اسداله یکتا ، ابراهیم فخار ، ماشین چیان ، یدی|, https://fa.wikipedia.org//wiki/%D8%AC%D8%B9%D9%81%D8%B1_%D9%88_%DA%AF%D9%84%D9%86%D8%A7%D8%B1, , 90, 1349, https://upload.wikimedia.org/wikipedia/fa/thumb/4/43/Ali-miri.jpg/100px-Ali-miri.jpg, fa
جمعه شیرین, 1349, http://www.cinema-theatre.com/performance_599/فیلم-جمعه-شیرین/,گرشا رئوفی ، طاهره غفاری ، محمد فرزین ، ناهید ، شهروز رامتین|, https://fa.wikipedia.org//wiki/%D8%AC%D9%85%D8%B9%D9%87_%D8%B4%DB%8C%D8%B1%DB%8C%D9%86, , 90 , 1349, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Emoji_u1f3a5.svg/30px-Emoji_u1f3a5.svg.png, fa
جنجال عروسی, 1349, http://www.cinema-theatre.com/performance_600/فیلم-جنجال-عروسی/,فائقه آتشین ، گرشا رئوفی ، غلامحسین بهمنیار ، ثریا بهشتی ، پروانه ، مرتضی حاج سید احمدی ، عباس قاجار ، گیتی فروهر|, https://fa.wikipedia.org//wiki/%D8%AC%D9%86%D8%AC%D8%A7%D9%84_%D8%B9%D8%B1%D9%88%D8%B3%DB%8C, , 90 , 1349, https://upload.wikimedia.org/wikipedia/fa/thumb/c/c6/%D9%BE%D9%88%D8%B3%D8%AA%D8%B1_%D9%81%DB%8C%D9%84%D9%85_%D8%AC%D9%86%D8%AC%D8%A7%D9%84_%D8%B9%D8%B1%D9%88%D8%B3%DB%8C.jpg/220px-%D9%BE%D9%88%D8%B3%D8%AA%D8%B1_%D9%81%DB%8C%D9%84%D9%85_%D8%AC%D9%86%D8%AC%D8%A7%D9%84_%D8%B9%D8%B1%D9%88%D8%B3%DB%8C.jpg, fa
جوانی هم عالمی دارد, 1349, http://www.cinema-theatre.com/performance_601/فیلم-جوانی-هم-عالمی-دارد/,فرخ ساجدی ، لی لی ، جهانگیر غفاری ، ویکتوریا ، هاله ، میرمحمد تجدد ، ایران قادری ، جمشید مشایخی ، محسن آراسته|, https://fa.wikipedia.org//wiki/%D8%AC%D9%88%D8%A7%D9%86%DB%8C_%D9%87%D9%85_%D8%B9%D8%A7%D9%84%D9%85%DB%8C_%D8%AF%D8%A7%D8%B1%D8%AF, , 90 , 1349, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Emoji_u1f3a5.svg/30px-Emoji_u1f3a5.svg.png, fa
حادثه جویان, 1349, http://www.cinema-theatre.com/performance_602/فیلم-حادثه-جویان/,منوچهر وثوق ، فریبا خاتمی ، همایون ، جواد قائم مقامی ، ثریا بهشتی ، لی لی ، پیشواییان ، جهانگیر فروهر ، احمد قدکچیان ، محمدتقی کهنمویی ، محمدرضا رفیعی ، رضا شفیع ، فرج مولایی|,,,,,,
حسن فرفره, 1349, http://www.cinema-theatre.com/performance_603/فیلم-حسن-فرفره/,منوچهر وثوق ، فریبا خاتمی ، علی میری ، سعید کامیار ، منصور متین ، نوشین ، سیمین علی زاده ، نرسی کرکیا ، محسن آراسته ، محمدتقی کهنمویی ، مینا کهنمویی ، ناتاشا ، یداله تاجیک|, https://fa.wikipedia.org//wiki/%D8%AD%D8%B3%D9%86_%D9%81%D8%B1%D9%81%D8%B1%D9%87, , 90 , 1349, https://upload.wikimedia.org/wikipedia/fa/thumb/4/43/Ali-miri.jpg/100px-Ali-miri.jpg, fa
حسن کچل, 1349, http://www.cinema-theatre.com/performance_604/فیلم-حسن-کچل/,پرویز صیاد ، کتایون ، صادق بهرامی ، حمیده خیرآبادی ، حسن خیاط باشی ، یداله شیراندامی ، سیروس ابراهیم زاده ، حسن رضیانی ، ثریا بهشتی ، منوچهر احمدی ، عباس معیری|,,,,,,
خشم عقابها, 1349, http://www.cinema-theatre.com/performance_605/فیلم-خشم-عقابها/,ایرج قادری ، ناتاشا ، آراماییس وارطان یوسفیانس ، غلامحسین بهمنیار ، نرسی کرکیا ، سیروس شاندرمنی ، عباس مغفوریان ، صابر آتشین ، کارمن ، حمیدی ، اشرف کاشانی ، محمد فرزین|,,,,,,
دختر ظالم بلا, 1349, http://www.cinema-theatre.com/performance_606/فیلم-دختر-ظالم-بلا/,جمیله ، پیمان ، ویکتوریا ، جهانگیر غفاری ، ابراهیم فخار ، ماروتیان ، محمدرضا رفیعی ، پیشواییان ، مینا ، مژگان|, https://fa.wikipedia.org//wiki/%D8%AF%D8%AE%D8%AA%D8%B1_%D8%B8%D8%A7%D9%84%D9%85_%D8%A8%D9%84%D8%A7, , 90 , 1349, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Emoji_u1f3a5.svg/30px-Emoji_u1f3a5.svg.png, fa
دزد و پاسبان, 1349, http://www.cinema-theatre.com/performance_607/فیلم-دزد-و-پاسبان/,تقی ظهوری ، حبیب اله بلور ، مسعود اسدالهی ، مهری رحمانی ، علی میری ، ثریا بهشتی ، منصور متین ، سیمین غفاری ، حمیده خیرآبادی|, https://fa.wikipedia.org//wiki/%D8%AF%D8%B2%D8%AF_%D9%88_%D9%BE%D8%A7%D8%B3%D8%A8%D8%A7%D9%86, , 90 , 1349, https://upload.wikimedia.org/wikipedia/fa/thumb/4/43/Ali-miri.jpg/100px-Ali-miri.jpg, fa
دور دنیا با جیب خالی, 1349, http://www.cinema-theatre.com/performance_608/فیلم-دور-دنیا-با-جیب-خالی/,بهروز وثوقی ، پوری بنایی ، رضا بیک ایمانوردی ، داریوش اسدزاده ، شهروز رامتین ، منوچهر ژیان ، حسن شاهین ، فیروز|, https://fa.wikipedia.org//wiki/%D8%AF%D9%88%D8%B1_%D8%AF%D9%86%DB%8C%D8%A7_%D8%A8%D8%A7_%D8%AC%DB%8C%D8%A8_%D8%AE%D8%A7%D9%84%DB%8C, , 90 , 1349, https://upload.wikimedia.org/wikipedia/fa/thumb/2/27/Poori-banaei-000.jpg/100px-Poori-banaei-000.jpg, fa
رام کردن مرد وحشی, 1349, http://www.cinema-theatre.com/performance_609/فیلم-رام-کردن-مرد-وحشی/,فروزان ، امامعلی حبیبی ، هایک ، فیروز ، ثریا بهشتی ، رستم خانی ، رضا بانکی ، حبیب اله بلور ، عباس ناظری نیک ، حسین پور ، یدی|, https://fa.wikipedia.org//wiki/%D8%B1%D8%A7%D9%85_%DA%A9%D8%B1%D8%AF%D9%86_%D9%85%D8%B1%D8%AF_%D9%88%D8%AD%D8%B4%DB%8C, , 90, 1349, https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Forouzan.jpg/100px-Forouzan.jpg, fa
رسوایی, 1349, http://www.cinema-theatre.com/performance_610/فیلم-رسوایی/,پوری بنایی ، منوچهر وثوق ، عزیزاله پیشواییان ، اسداله یکتا ، میرمحمد تجدد ، علی میری ، مینا کهنمویی ، محمدتقی کهنمویی|, https://fa.wikipedia.org//wiki/%D8%B1%D8%B3%D9%88%D8%A7%DB%8C%DB%8C_(%D9%81%DB%8C%D9%84%D9%85_%DB%B1%DB%B3%DB%B4%DB%B9), , 90 , 1349, https://upload.wikimedia.org/wikipedia/fa/thumb/4/43/Ali-miri.jpg/100px-Ali-miri.jpg, fa
رضا موتوری, 1349, http://www.cinema-theatre.com/performance_611/فیلم-رضا-موتوری/,بهروز وثوقی ، فریبا خاتمی ، محمود تهرانی ، جلال پیشواییان ، شاپور شالچی ، محسن مهدوی ، پروین ملکوتی ، حسن شاهین ، بهمن مفید|,,,,,,
رقاصه شهر, 1349, http://www.cinema-theatre.com/performance_612/فیلم-رقاصه-شهر/,فروزان ، ناصر ملک مطیعی ، بهمن مفید ، حسن شاهین ، شهروز رامتین ، رفیع حالتی ، محمدتقی کهنمویی ، شمسی فضل الهی ، حسن رضایی ، فرنگیس فروهر ، غلامرضا سرکوب|,,,,,,
زیبای جیب بر, 1349, http://www.cinema-theatre.com/performance_613/فیلم-زیبای-جیب-بر/,پیمان ، لی لی ، منصور سپهرنیا ، علی میری ، محسن مهدوی ، یدی ، مژگان ، سرکوب ، اکبر جنتی شیرازی ، کهنمویی ، حسن رضایی ، اسداله یکتا ، محسن آراسته|,,,,,,
ساقی, 1349, http://www.cinema-theatre.com/performance_614/فیلم-ساقی/,عارف ، فریبا خاتمی ، علی میری ، رضوان ، پیمانه ، حمید شیرازی ، فریدون نریمان ، طاطایی ، هاله|, https://fa.wikipedia.org//wiki/%D8%B3%D8%A7%D9%82%DB%8C_(%D9%81%DB%8C%D9%84%D9%85_%DB%B1%DB%B3%DB%B4%DB%B9), , 90 , 1349, https://upload.wikimedia.org/wikipedia/fa/thumb/4/43/Ali-miri.jpg/100px-Ali-miri.jpg, fa
سفر پر ماجرا, 1349, http://www.cinema-theatre.com/performance_615/فیلم-سفر-پر-ماجرا/,ایرج رستمی ، مونیکا ، ابراهیم نادری ، سیمین غفاری ، اواجو ، فرانکو سراپوره ، امر بنارو|,,,,,,
سکه شانس, 1349, http://www.cinema-theatre.com/performance_616/فیلم-سکه-شانس/,محمدعلی فردین ، ناصر ملک مطیعی ، مرجان ، لی لی ، ایران دفتری ، جهانگیر فروهر ، محمدتقی کهنمویی ، غلامحسین بهمنیار ، رضوانی ، رفیع ، حمیدی ، شمس اله|, https://fa.wikipedia.org//wiki/%D8%B3%DA%A9%D9%87_%D8%B4%D8%A7%D9%86%D8%B3, , 90, 1349, https://upload.wikimedia.org/wikipedia/fa/thumb/1/14/Seke-shans.jpg/220px-Seke-shans.jpg, fa
سوگلی, 1349, http://www.cinema-theatre.com/performance_617/فیلم-سوگلی/,ناصر ملک مطیعی ، فروزان ، تقی ظهوری ، پیمان ، ثریا بهشتی ، جواد تقدسی ، عزت اله مقبلی ، احمد قدکچیان|, https://fa.wikipedia.org//wiki/%D8%B3%D9%88%DA%AF%D9%84%DB%8C_(%D9%81%DB%8C%D9%84%D9%85_%DB%B1%DB%B3%DB%B4%DB%B9), , 90, 1349, https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Forouzan.jpg/100px-Forouzan.jpg, fa
شب اعلام, 1349, http://www.cinema-theatre.com/performance_618/فیلم-شب-اعلام/,نیلوفر ، عبداله بوتیمار ، غلامرضا سرکوب ، سیروس جراح زاده ، جهانگیر فروهر ، محسن آراسته ، فریدون نریمان ، صمد صباحی ، طلوع ، کاظم تهرانچی ، گیتا جمالی ، لرتا|, https://fa.wikipedia.org//wiki/%D8%B4%D8%A8_%D8%A7%D8%B9%D9%84%D8%A7%D9%85, , 90 , 1349, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Shabe_E%27dam_%285%29.jpg/220px-Shabe_E%27dam_%285%29.jpg, fa
شهر گناه, 1349, http://www.cinema-theatre.com/performance_619/فیلم-شهر-گناه/,پوری بنایی ، کتایون ، جواد قائم مقامی ، سعید کامیار ، محمدتقی کهنمویی ، حسن رضایی ، صادق توکلی|,,,,,,
شهر هرت, 1349, http://www.cinema-theatre.com/performance_620/فیلم-شهر-هرت/,منوچهر صادق پور ، فریده نصیری ، آنوشاوان هاروتیونیان ، ابراهیم فخار ، اسداله یکتا ، فرنگیس ، ایران قادری ، گیتی جعفری|, https://fa.wikipedia.org//wiki/%D8%B4%D9%87%D8%B1_%D9%87%D8%B1%D8%AA_(%D9%81%DB%8C%D9%84%D9%85), , 90 , 1349, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Emoji_u1f3a5.svg/30px-Emoji_u1f3a5.svg.png, fa
شیرین و فرهاد, 1349, http://www.cinema-theatre.com/performance_621/فیلم-شیرین-و-فرهاد/,جونیت آرکین ، داریوش طلایی ، نیلوفر ، ژاله ، حسن رضایی ، مرتضی حاج سید احمدی|, https://fa.wikipedia.org//wiki/%D8%B4%DB%8C%D8%B1%DB%8C%D9%86_%D9%88_%D9%81%D8%B1%D9%87%D8%A7%D8%AF_(%D9%81%DB%8C%D9%84%D9%85_%DB%B1%DB%B3%DB%B4%DB%B9), , 90 , 1349, https://upload.wikimedia.org/wikipedia/fa/thumb/4/41/Shirin_va_Farhad_Poster.jpg/220px-Shirin_va_Farhad_Poster.jpg, fa
طلوع, 1349, http://www.cinema-theatre.com/performance_622/فیلم-طلوع/,جمشید مشایخی ، فخری خوروش ، فائقه آتشین ، بلا الوندی|, https://fa.wikipedia.org//wiki/%D8%B7%D9%84%D9%88%D8%B9_(%D9%81%DB%8C%D9%84%D9%85_%DB%B1%DB%B3%DB%B4%DB%B9), , 97 , 1349, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Emoji_u1f3a5.svg/30px-Emoji_u1f3a5.svg.png, fa
طوقی, 1349, http://www.cinema-theatre.com/performance_623/فیلم-طوقی/,بهروز وثوقی ، صغری عبیسی ، ناصر ملک مطیعی ، ژاله ، حمیده خیرآبادی ، محسن آراسته ، شمسی فضل الهی ، بهمن مفید ، غلامرضا سرکوب ، حسین گیل ، جلال پیشواییان|,,,,,,
عروس بیانکا, 1349, http://www.cinema-theatre.com/performance_624/فیلم-عروس-بیانکا/,فروزان ، منوچهر وثوق ، حبیب اله بلور ، منصور سپهرنیا ، ابراهیم فخار ، اسداله یکتا ، اکبر جنتی شیرازی ، دیانا ، سونیا ، شهروز رامتین ، نسرین ، حسن رضایی|, https://fa.wikipedia.org//wiki/%D8%B9%D8%B1%D9%88%D8%B3_%D8%A8%DB%8C%D8%A7%D9%86%DA%A9%D8%A7, <div style="padding:0em 0.25em"><span class="nowrap"><a href="/wiki/%D8%B9%D8%B4%D9%82_%D9%88_%D8%AD%D9%85%D8%A7%D9%82%D8%AA" title="`shq w Hmqt">`shq w Hmqt</a> (1340)</span> *  <span class="nowrap"><a href="/wiki/%D8%AF%D8%AE%D8%AA%D8%B1%DB%8C_%D9%81%D8%B1%DB%8C%D8%A7%D8%AF_%D9%85%DB%8C%E2%80%8C%DA%A9%D8%B4%D8%AF" title="dkhtry fryd mykhshd">dkhtry fryd mykhshd</a> (1340)</span> * <span class="nowrap"><a href="/wiki/%D8%AE%D8%A7%D9%86%D9%85_%D8%B9%D9%88%D8%B6%DB%8C_%DA%AF%D8%B1%D9%81%D8%AA%DB%8C%D9%86" title="khnm `wDy grftyn">khnm `wDy grftyn</a> (1340)</span> * <span class="nowrap"><a href="/wiki/%DA%A9%D9%84%DB%8C%D8%AF_(%D9%81%DB%8C%D9%84%D9%85_%DB%B1%DB%B3%DB%B4%DB%B1)" title="khlyd (fylm 1341)">khlyd</a> (1341)</span> * <span class="nowrap"><a href="/wiki/%DA%A9%D9%84%D8%A7%D9%87%E2%80%8C%D9%85%D8%AE%D9%85%D9%84%DB%8C_(%D9%81%DB%8C%D9%84%D9%85)" title="khlhmkhmly (fylm)">khlhmkhmly (fylm)</a> (1341)</span> * <span class="nowrap"><a href="/wiki/%D8%B2%D9%86_%D8%AF%D8%B4%D9%85%D9%86_%D8%AE%D8%B7%D8%B1%D9%86%D8%A7%DA%A9%DB%8C%D8%B3%D8%AA" title="zn dshmn khTrnkhyst">zn dshmn khTrnkhyst</a> (1341)</span> * <span class="nowrap"><a href="/wiki/%D8%AF%D8%AE%D8%AA%D8%B1%D9%87%D8%A7_%D8%A7%DB%8C%D9%86%D8%B7%D9%88%D8%B1_%D8%AF%D9%88%D8%B3%D8%AA_%D8%AF%D8%A7%D8%B1%D9%86%D8%AF" title="dkhtrh ynTwr dwst drnd">dkhtrh ynTwr dwst drnd</a> (1341)</span> * <span class="nowrap"><a href="/wiki/%D9%88%D8%AD%D8%B4%D8%AA_(%D9%81%DB%8C%D9%84%D9%85)" title="wHsht (fylm)">wHsht</a> (1342)</span> * <span class="nowrap"><a href="/wiki/%D8%B7%D9%84%D8%A7%D9%82_(%D9%81%DB%8C%D9%84%D9%85_%DB%B1%DB%B3%DB%B4%DB%B2)" title="Tlq (fylm 1342)">Tlq</a> (1342)</span> * <span class="nowrap"><a href="/wiki/%D8%AA%D8%B1%D8%B3_%D9%88_%D8%AA%D8%A7%D8%B1%DB%8C%DA%A9%DB%8C" title="trs w trykhy">trs w trykhy</a> (1342)</span> * <span class="nowrap"><a href="/wiki/%D8%A2%D9%86%E2%80%8C%D9%87%D8%A7_%D8%B2%D9%86%D8%AF%DA%AF%DB%8C_%D8%B1%D8%A7_%D8%AF%D9%88%D8%B3%D8%AA_%D8%AF%D8%A7%D8%B4%D8%AA%D9%86%D8%AF" title="anh zndgy r dwst dshtnd">anh zndgy r dwst dshtnd</a> (1342)</span> * <span class="nowrap"><a href="/wiki/%D8%B9%D8%B1%D9%88%D8%B3_%D9%81%D8%B1%D9%86%DA%AF%DB%8C" title="`rws frngy">`rws frngy</a> (1343)</span> * <span class="nowrap"><a href="/wiki/%D8%B3%D9%87_%D8%AA%D9%81%D9%86%DA%AF%D8%AF%D8%A7%D8%B1_(%D9%81%DB%8C%D9%84%D9%85_%DB%B1%DB%B3%DB%B4%DB%B3)" title="sh tfngdr (fylm 1343)">sh tfngdr</a> (1343)</span> * <span class="nowrap"><a href="/wiki/%DA%86%D9%87%D8%A7%D8%B1_%D8%AA%D8%A7_%D8%B4%DB%8C%D8%B7%D9%88%D9%86" title="chhr t shyTwn">chhr t shyTwn</a> (1343)</span> * <span class="nowrap"><a href="/wiki/%D8%AC%D9%87%D9%86%D9%85_%D8%B2%DB%8C%D8%B1_%D9%BE%D8%A7%DB%8C_%D9%85%D9%86" title="jhnm zyr py mn">jhnm zyr py mn</a> (1343)</span> * <span class="nowrap"><a href="/wiki/%D8%AC%D8%A7%D9%87%D9%84%E2%80%8C%D9%87%D8%A7_%D9%88_%DA%98%DB%8C%DA%AF%D9%88%D9%84%E2%80%8C%D9%87%D8%A7" title="jhlh w jygwlh">jhlh w jygwlh</a> (1343)</span> * <span class="nowrap"><a href="/wiki/%D8%AA%D8%B1%D8%A7%D9%86%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C_%D8%B1%D9%88%D8%B3%D8%AA%D8%A7%D8%A6%DB%8C" title="trnhhy rwsty'y">trnhhy rwsty'y</a> (1343)</span> * <span class="nowrap"><a href="/wiki/%D8%A8%D9%86%E2%80%8C%D8%A8%D8%B3%D8%AA_(%D9%81%DB%8C%D9%84%D9%85_%DB%B1%DB%B3%DB%B4%DB%B3)" title="bnbst (fylm 1343)">bnbst</a> (1343)</span> * <span class="nowrap"><a href="/wiki/%D8%A8%D8%A8%D8%B1_%D8%B1%DB%8C%D9%86%DA%AF" title="bbr ryng">bbr ryng</a> (1343)</span> * <span class="nowrap"><a href="/wiki/%D9%85%D8%B1%D8%AF%DB%8C_%D8%AF%D8%B1_%D9%82%D9%81%D8%B3" title="mrdy dr qfs">mrdy dr qfs</a> (1344)</span> * <span class="nowrap"><a href="/wiki/%D9%85%D8%B1%D8%AF_%D8%AF%D9%87_%D9%85%DB%8C%D9%84%DB%8C%D9%88%D9%86_%D8%AA%D9%88%D9%85%D8%A7%D9%86%DB%8C" title="mrd dh mylywn , 90 , 1349, https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Forouzan.jpg/100px-Forouzan.jpg, fa
عقاب طلایی, 1349, http://www.cinema-theatre.com/performance_625/فیلم-عقاب-طلایی/,فیروز ، لی لی ، هایک ، لیلا بهاران ، رضا بانکی ، مینا ، مرتضی حدیقی ، لیلا فروهر|, https://fa.wikipedia.org//wiki/%D8%B9%D9%82%D8%A7%D8%A8_%D8%B7%D9%84%D8%A7%DB%8C%DB%8C_(%D9%81%DB%8C%D9%84%D9%85_%DB%B1%DB%B3%DB%B4%DB%B9), , 90 , 1349, https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Emoji_u1f3a5.svg/30px-Emoji_u1f3a5.svg.png, fa
علی بی غم, 1349, http://www.cinema-theatre.com/performance_626/فیلم-علی-بی-غم/,ناصر ملک مطیعی ، همایون ، احمد قدکچیان ، حمیده خیرآبادی ، ثریا بهشتی ، مینا کهنمویی ، غلامرضا سرکوب ، ایران قادری ، شهین ، محسن آراسته|,,,,,,
